Date,Volume,成交金額,Open,High,Low,Close,漲跌價差,成交筆數
2017-01-03,2757435,"146,961,901",53.4,53.6,53.2,53.3,-0.1,"1,631"
2017-01-04,9052224,"481,934,717",53.5,53.7,52.9,53.0,-0.3,"3,126"
2017-01-05,14307988,"764,470,392",53.0,54.1,52.9,54.1,1.1,"4,292"
2017-01-06,8199858,"443,382,991",54.1,54.3,53.8,54.1,0.0,"3,880"
2017-01-09,4863225,"263,578,076",54.2,54.5,54.0,54.2,0.1,"2,372"
2017-01-10,6374658,"342,581,032",54.0,54.1,53.3,53.7,-0.5,"2,908"
2017-01-11,9051053,"486,447,462",54.0,54.2,53.4,54.0,0.3,"4,107"
2017-01-12,8620672,"468,788,140",54.1,54.6,54.0,54.4,0.4,"4,283"
2017-01-13,10534492,"576,320,160",54.6,55.0,54.4,55.0,0.6,"4,798"
2017-01-16,7849967,"427,500,301",54.8,54.8,54.1,54.5,-0.5,"3,026"
2017-01-17,5763326,"314,832,535",54.5,54.9,54.4,54.8,0.3,"2,591"
2017-01-18,7793969,"422,494,698",54.8,54.8,54.0,54.0,-0.8,"3,663"
2017-01-19,10985766,"597,053,191",54.0,54.6,54.0,54.6,0.6,"2,496"
2017-01-20,6231459,"338,830,742",54.6,54.6,54.1,54.3,-0.3,"2,113"
2017-01-23,16813966,"916,071,575",54.3,54.7,54.2,54.5,0.2,"4,551"
2017-01-24,17824014,"962,395,499",54.3,54.5,53.5,53.5,-1.0,"5,088"
2017-02-02,45496494,"2,393,020,192",52.4,53.1,52.4,52.5,-1.0,"9,650"
2017-02-03,14144621,"746,125,833",52.6,52.9,52.6,52.8,0.3,"5,083"
2017-02-06,11778620,"631,851,566",53.1,53.9,53.0,53.8,1.0,"4,624"
2017-02-07,11160427,"604,402,812",53.3,54.5,53.1,54.3,0.5,"4,964"
2017-02-08,12925224,"696,317,096",54.0,54.0,53.5,53.9,-0.4,"5,102"
2017-02-09,6601003,"357,517,523",53.9,54.3,53.9,54.1,0.2,"3,130"
2017-02-10,15132409,"821,930,507",54.1,54.4,54.0,54.4,0.3,"4,237"
2017-02-13,7425906,"406,447,507",54.5,54.9,54.4,54.9,0.5,"3,277"
2017-02-14,13815458,"750,880,201",54.9,54.9,54.2,54.2,-0.7,"4,866"
2017-02-15,10645879,"582,345,125",54.4,55.0,54.2,55.0,0.8,"4,585"
2017-02-16,8397461,"464,475,253",55.3,55.5,54.8,55.5,0.5,"4,160"
2017-02-17,6013610,"332,741,181",55.4,55.7,55.0,55.1,-0.4,"3,459"
2017-02-18,3327916,"182,545,596",55.1,55.3,54.6,54.6,-0.5,"1,944"
2017-02-20,6343780,"345,696,290",55.0,55.0,54.3,54.5,-0.1,"2,614"
2017-02-21,4987730,"271,449,573",54.5,54.6,54.3,54.5,0.0,"2,202"
2017-02-22,6249677,"342,156,341",54.6,55.1,54.4,54.8,0.3,"2,690"
2017-02-23,7390763,"402,529,661",55.0,55.1,54.1,54.5,-0.3,"3,295"
2017-02-24,14335661,"784,925,425",54.7,55.0,54.5,54.6,0.1,"3,357"
